name	id	parent	geo	iso23	iso3
Abkhaz-Adyge	abkh1242				
Abkhaz-Abaza	abkh1243	abkh1242			
Abkhazian	abkh1244	abkh1243	43.056218,41.159115	ab	abk
Circassian	circ1239	abkh1242			
Adyghe	adyg1241	circ1239	44,39.33	ady	ady
Indo-European	indo1319				
Germanic	germ1287	indo1319			
Northwest Germanic	nort3152	germ1287			
West Germanic	west2793	nort3152			
Franconian	fran1268	west2793			
Low Franconian	wese1235	fran1268			
Afrikaansic	afri1273	wese1235			
Afrikaans	afri1274	afri1273	-22,30	af	afr
Atlantic-Congo	atla1278				
Volta-Congo	volt1241	atla1278			
Kwa Volta-Congo	kwav1236	volt1241			
Nyo	nyoa1234	kwav1236			
Potou-Tano	poto1254	nyoa1234			
Tano	tano1248	poto1254			
Central Tano	cent2262	tano1248			
Akanic	akan1251	cent2262			
Akan	akan1250	akan1251	6.34756,-1.33254	ak	aka
Afro-Asiatic	afro1255				
Semitic	semi1276	afro1255			
West Semitic	west2786	semi1276			
Ethiosemitic	ethi1244	west2786			
South Ethiopic	sout3078	ethi1244			
Transversal South Ethiopic	tran1288	sout3078			
Amharic-Argobba	amha1244	tran1288			
Amharic	amha1245	amha1244	11.708182,39.543456	am	amh
Central Semitic	cent2236	west2786			
Arabian	arab1394	cent2236			
Arabic	arab1395	arab1394		ar	ara
Indo-Iranian	indo1320	indo1319			
Indo-Aryan	indo1321	indo1320			
Indo-Aryan Eastern zone	indo1323	indo1321			
Oriya-Gauda-Kamrupa	oriy1254	indo1323			
Gauda-Kamrupa	gaud1237	oriy1254			
Kamrupa	kamt1240	gaud1237			
Eastern Kamta	assa1262	kamt1240			
Assamese	assa1263	assa1262	26.0876,91.2932	as	asm
Italic	ital1284	indo1319			
Latino-Faliscan	lati1262	ital1284			
Latinic	lati1263	lati1262			
Imperial Latin	impe1234	lati1263			
Romance	roma1334	impe1234			
Italo-Western Romance	ital1285	roma1334			
Western Romance	west2813	ital1285			
Shifted Western Romance	shif1234	west2813			
Southwestern Shifted Romance	sout3183	shif1234			
West Ibero-Romance	west2838	sout3183			
Asturo-Leonese	astu1244	west2838			
Asturian	astu1245	astu1244	42.4181,-6.02227	ast	ast
Nakh-Daghestanian	nakh1245				
Daghestanian	dagh1238	nakh1245			
Avar-Andic-Tsezic	avar1255	dagh1238			
Avar	avar1256	avar1255	41.7047,46.558	av	ava
Aymaran	ayma1253				
Central-Southern Aymara	nucl1667	ayma1253		ay	aym
Turkic	turk1311				
Common Turkic	comm1245	turk1311			
Oghuz-Kipchak-Uyghur	oghu1246	comm1245			
Oghuz	oghu1243	oghu1246			
West Oghuz	west2406	oghu1243			
Azerbaijani	azer1255	west2406		az	aze
Kipchak	kipc1239	oghu1243			
North Kipchak	nort2696	kipc1239			
Bashkir	bash1264	nort2696	53.5967,56.5594	ba	bak
Iranian	iran1269	indo1320			
Central Iranian PBS	cent2317	iran1269			
Central Iranian PB	cent2318	cent2317			
Northwestern Iranian	nort3177	cent2318			
Balochic	balo1260	nort3177		bal	bal
Balto-Slavic	balt1263	indo1319			
Slavic	slav1255	balt1263			
East Slavic	east1426	slav1255			
Belarusian	bela1254	east1426	53.2307,25.6038	be	bel
South Slavic	sout3147	slav1255			
Eastern South Slavic	east2269	sout3147			
Macedo-Bulgarian	mace1252	east2269			
Bulgarian	bulg1262	mace1252	43.3646,25.047	bg	bul
North Sea Germanic	nort3175	west2793			
Anglo-Frisian	angl1264	nort3175			
Anglian	angl1265	angl1264			
Mercian	merc1242	angl1265			
Macro-English	macr1271	merc1242			
Pacific Creole English	paci1280	macr1271			
Early Melanesian Pidgin	earl1243	paci1280			
Bislama	bisl1239	earl1243	-15.4,166.89	bi	bis
North-Central Atlantic	nort3146	atla1278			
Central Atlantic	cent2230	nort3146			
