name	iso3	gl	family	likely	script	population	literacy	cldr	id	plural	ordinal	num	chars	quot
Abkhazian	abk	abkh1244	abkh1242	ab-Cyrl-GE	Cyrl	108418	99.7	false	ab					
Adyghe	ady	adyg1241	abkh1242	ady-Cyrl-RU	Cyrl	125273	99.7	false	ady					
Afrikaans	afr	afri1274	indo1319	af-Latn-ZA	Latn	7059091	99	true	af	0	0	latn	0	0
Akan	aka	akan1250	atla1278	ak-Latn-GH	Latn	10494237	71.5	true	ak	1		latn	1	0
Amharic	amh	amha1245	afro1255	am-Ethi-ET	Ethi	33783420	39	true	am	2	0	latn	0	1
Arabic	ara	arab1395	afro1255	ar-Arab-EG	Arab	308333021	77	true	ar	3	0	arab	0	2
Assamese	asm	assa1263	indo1319	as-Beng-IN	Beng	16469441	62.8	true	as	2	1	beng	0	0
Asturian	ast	astu1245	indo1319	ast-Latn-ES	Latn	631326	97.7	true	ast	4		latn	2	3
Avaric	ava	avar1256	nakh1245	av-Cyrl-RU	Cyrl	555185	99.7	false	av					
Aymara	aym	nucl1667	ayma1253	ay-Latn-BO	Latn	2193920	91.2	false	ay					
Azerbaijani	aze	azer1255	turk1311	az-Latn-AZ	Latn	8786766	99.8	true	az	0	2	latn	3	0
Azerbaijani	aze	azer1255	turk1311	az-Arab-IR	Arab	686629	78.5	false	az-Arab	0	2			
Azerbaijani	aze	azer1255	turk1311		Cyrl	1109795	99.8	true	az-Cyrl	0	2	latn	0	1
Bashkir	bak	bash1264	turk1311	ba-Cyrl-RU	Cyrl	1850616	99.7	false	ba					
Baluchi	bal	balo1260	indo1319	bal-Arab-PK	Arab	223325	28.1	false	bal					
Belarusian	bel	bela1254	indo1319	be-Cyrl-BY	Cyrl	9570380	99.6	true	be	5	3	latn	1	4
Bulgarian	bul	bulg1262	indo1319	bg-Cyrl-BG	Cyrl	7144650	98.4	true	bg	0	0	latn	2	5
Bislama	bis	bisl1239	indo1319	bi-Latn-VU	Latn	249799	83.2	false	bi					
Balanta-Ganja	bjt	bala1302	atla1278	bjt-Latn-SN	Latn	87353	100	false	bjt					
Bangla	ben	beng1280	indo1319	bn-Beng-BD	Beng	255680540	59.7	true	bn	2	1	beng	1	0
Tibetan	bod	tibe1272	sino1245	bo-Tibt-CN	Tibt	2747080	95.1	true	bo	6		latn	0	0
Bosnian	bos	bosn1245	indo1319	bs-Latn-BA	Latn	3823291	98	true	bs	7	0	latn	4	6
Bosnian	bos	bosn1245	indo1319		Cyrl	3823291	98	true	bs-Cyrl	7	0	latn	3	7
Bassari-Tanda	bsc	bass1258	atla1278			14034	10	false	bsc					
Catalan	cat	stan1289	indo1319	ca-Latn-ES	Latn	8299482	97.7	true	ca	4	4	latn	5	3
Chechen	che	chec1245	nakh1245	ce-Cyrl-RU	Cyrl	939543	99.7	true	ce	0	0	latn	4	0
Cebuano	ceb	cebu1242	aust1307	ceb-Latn-PH	Latn	24629760	13	false	ceb					
Chamorro	cha	cham1312	aust1307	ch-Latn-GU	Latn	35804	99	false	ch					
Central Kurdish	ckb	cent1972	indo1319	ckb-Arab-IQ	Arab	7629200	78.5	true	ckb	0		arab	1	0
Czech	ces	czec1258	indo1319	cs-Latn-CZ	Latn	10431904	99	true	cs	8	0	latn	6	7
Kashubian	csb	kash1274	indo1319	csb-Latn-PL	Latn	50081	99.7	false	csb					
Welsh	cym	wels1247	indo1319	cy-Latn-GB	Latn	496115	99	true	cy	9	5	latn	7	0
Danish	dan	dani1285	indo1319	da-Latn-DK	Latn	5202225	99	true	da	10	0	latn	8	0
German	deu	stan1295	indo1319	de-Latn-DE	Latn	100742338	99	true	de	4	0	latn	9	7
Divehi	div	dhiv1236	indo1319	dv-Thaa-MV	Thaa	369383	98.4	false	dv	0				
Jola-Fonyi	dyo	jola1263	atla1278	dyo-Latn-SN	Latn	372323	10	true	dyo			latn	10	3
Dzongkha	dzo	dzon1239	sino1245	dz-Tibt-BT	Tibt	352559	52.8	true	dz	6		tibt	1	0
Ewe	ewe	ewee1241	atla1278	ee-Latn-GH	Latn	2959913	71.5	true	ee	0		latn	11	0
Greek	ell	mode1248	indo1319	el-Grek-GR	Grek	11810868	97.4	true	el	0	0	latn	0	3
English	eng	stan1293	indo1319	en-Latn-US	Latn	1111587744	80.1	true	en	4	6	latn	12	0
Spanish	spa	stan1288	indo1319	es-Latn-ES	Latn	423409100	94	true	es	0	0	latn	13	3
Estonian	est	esto1258	ural1272	et-Latn-EE	Latn	893571	99.8	true	et	4	0	latn	14	7
Basque	eus	basq1248	basq1248	eu-Latn-ES	Latn	971270	97.7	true	eu	0	0	latn	15	8
Persian	fas	fars1254	indo1319	fa-Arab-IR	Arab	78767200	73	true	fa	2	0	arabext	2	1
Fulah	ful	fula1264	atla1278	ff-Latn-SN	Latn	3007221	49.7	true	ff	11		latn	16	9
