color	id
5	AF
3	AO
1	AL
2	AE
3	AR
3	AM
4	AQ
7	TF
1	AU
3	AT
1	AZ
2	BI
3	BE
1	BJ
2	BF
3	BD
4	BG
1	BS
1	BA
1	BY
1	BZ
1	BO
5	BR
4	BN
5	BT
6	BW
5	CF
6	CA
5	CH
5	CL
4	CN
4	CI
1	CM
4	CD
2	CG
2	CO
3	CR
3	CU
1	CY
1	CZ
2	DE
1	DJ
4	DK
5	DO
5	DZ
1	EC
4	EG
3	ER
4	ES
3	EE
4	ET
4	FI
5	FJ
6	FK
7	FR
6	GA
6	GB
5	GE
5	GH
6	GN
1	GM
3	GW
4	GQ
2	GR
4	GL
3	GT
3	GY
2	HN
5	HR
2	HT
4	HU
6	ID
1	IN
2	IE
4	IR
1	IQ
1	IS
3	IL
6	IT
1	JM
5	JO
5	JP
6	KZ
5	KE
5	KG
6	KH
4	KR
2	XK
2	KW
1	LA
4	LB
2	LR
1	LY
3	LK
1	LS
6	LT
1	LU
4	LV
2	MA
3	MD
6	MG
6	MX
5	MK
1	ML
2	MM
4	ME
3	MN
4	MZ
3	MR
1	MW
2	MY
4	NA
7	NC
4	NE
3	NG
1	NI
4	NL
5	NO
2	NP
3	NZ
1	OM
2	PK
4	PA
4	PE
3	PH
4	PG
3	PL
4	PR
3	KP
1	PT
6	PY
3	PS
3	QA
1	RO
2	RU
5	RW
4	EH
6	SA
2	SD
1	SS
2	SN
1	SB
1	SL
1	SV
2	SO
3	RS
1	SR
2	SK
2	SI
1	SE
3	SZ
2	SY
6	TD
3	TG
3	TH
3	TJ
3	TM
2	TL
5	TT
4	TN
6	TR
1	TW
3	TZ
6	UG
5	UA
1	UY
4	US
2	UZ
1	VE
5	VN
6	VU
5	YE
2	ZA
5	ZM
1	ZW
